rainfall_mm,river_level_m,humidity_pct,elevation_m,past_flood_events_count,season_encoded,will_become_critical_within_1h,will_become_critical_within_3h,will_become_critical_within_6h,will_become_critical_within_24h
180.73951969585616,2.2159367609050866,47.432640229525134,402.9077700449539,8,1,0,0,1,1
199.73365540384893,5.165515636082781,63.25190040595992,682.4103310164072,0,1,0,0,0,1
9.96597926733393,7.838617992774418,69.46327957393567,895.0693813519714,7,1,0,0,1,1
60.03257967878607,6.655588779022628,96.01506391072846,1318.9498719462297,2,2,0,0,0,0
239.84694359405938,5.187851688454352,59.67201262787364,1293.1003720547203,2,0,0,0,1,1
291.8639019226268,11.886778451950267,74.37575605611048,201.35700621086502,5,1,0,0,1,1
107.43817688528323,0.9482260044754713,87.96727425422489,44.24238271739724,1,0,0,0,0,0
312.76457788918907,4.203566789343818,83.71924903146714,1245.6846398288237,4,2,0,1,1,1
252.54035161890664,11.956684857138944,75.17715587782098,171.68997296834058,3,0,1,1,1,1
66.47863397167887,2.5522063676560087,52.40057273382227,71.86748096425114,5,0,0,0,1,1
193.9796568936755,5.375768728224786,52.03478843499876,1092.5973351575387,4,1,0,0,1,1
123.24618390931494,0.5819091949647077,94.00752478673083,457.9421358736791,8,2,0,0,0,0
63.662340931027536,5.989130932067995,80.19004442475301,769.960661992,2,1,0,1,1,1
274.9606166525256,10.800223021135412,88.6721301619327,723.6776494939794,7,2,0,1,1,1
337.91912784418923,1.9631701043129979,91.27685952871958,145.21399148756922,4,1,1,1,1,1
81.32378163516624,4.9619053742408905,58.48312054660991,131.6584009073833,6,1,0,0,1,1
29.246501782170288,9.290201521568957,67.50463146719706,713.7783402754947,7,0,0,1,1,1
211.24194780192647,1.771689969171945,62.83065774615866,757.5612781191187,4,2,1,1,1,1
255.14746505066623,3.1476285885928275,95.70335577465252,1310.875039940496,9,2,0,0,1,1
96.68358997404198,1.2087682138200853,64.62163924861358,909.6056332013624,1,1,0,0,0,0
239.8572150730624,11.628257012217329,80.54005296127357,615.4794962732132,4,1,0,0,1,1
181.25361596896659,11.489502413624981,47.41287262678519,1189.3449289086377,2,1,0,0,1,1
16.9695880992402,6.995161644301666,92.16516468395827,812.9030261886946,6,0,0,0,0,0
48.25423314673714,10.288849421278776,45.97484691142589,913.6428158193469,6,0,0,1,1,1
65.43859914827237,4.445361704996028,60.16390170802332,453.9272456468248,6,0,0,0,1,1
