num_people,has_children,has_elderly,has_pregnant,has_disabled,medical_emergency,water_level_cm,disaster_type_encoded,road_blocked,distance_to_nearest_shelter_km,people_visible_in_image,severity_estimate_encoded,priority_score
7,0,0,0,0,0,136,3,0,6.126964230066889,4,1,67.6313116311427
4,0,0,0,0,0,30,1,1,0.8816981458155263,2,1,66.8833717937574
8,0,0,0,0,0,132,4,0,9.458429687803731,4,1,74.54931817487197
5,1,0,0,0,0,227,0,0,9.320818844158755,0,0,61.43542812189629
7,1,0,0,0,0,15,1,1,14.49957612818037,3,0,63.8276747063179
3,1,0,0,0,1,41,5,0,4.540277727809008,2,1,80.687323640113
7,0,0,0,0,0,168,5,0,6.342370326766112,1,0,57.30831427767135
8,0,0,1,0,0,207,3,0,6.114200573006255,4,0,85.9211721131242
5,1,0,0,0,0,211,1,0,13.804184124688101,4,1,86.75487470522593
4,0,0,0,1,0,245,4,0,6.188874799300144,1,0,69.23454091124913
8,0,0,0,0,1,29,3,0,6.697185748668784,4,1,89.0206176558492
8,0,1,0,0,0,25,1,0,3.8599335594570268,0,0,53.18572476123247
3,0,0,0,1,0,176,3,0,0.11740538171831107,5,0,77.85222481418316
6,0,1,0,0,0,30,5,1,1.7457150034929754,5,0,65.5355981123658
5,0,0,0,0,0,49,4,0,10.587948356266903,2,0,41.93851484843038
2,0,0,0,0,0,142,0,1,10.269184341297077,4,0,49.90048114268235
8,0,0,0,0,0,51,4,0,4.905705535388579,1,0,54.552471476212695
6,0,0,0,0,1,232,0,1,7.147792793429937,1,0,90.82270175113496
2,1,0,0,0,0,165,2,1,4.530938061366712,2,1,83.55182529209593
5,0,0,0,0,0,37,5,0,10.990654189512636,0,0,33.06888898143717
1,0,1,0,0,0,234,5,1,12.653240316585434,2,1,69.78319531947521
6,1,0,0,0,1,248,5,0,13.496668860566581,4,1,100.0
9,0,0,0,0,0,187,4,0,2.6906826891747007,5,0,70.86588200688058
1,0,1,0,0,0,19,0,0,10.455749453334843,0,0,34.424904187670414
3,0,0,1,0,0,98,2,1,14.448769689245783,0,0,72.57225564934096
7,0,1,0,0,1,214,2,1,9.794114391556331,1,2,100.0
4,0,0,1,0,0,43,2,0,5.329514739656526,0,2,85.68657838801404
9,1,1,0,0,0,110,3,0,9.575600850430401,4,0,74.37722390422392
3,0,0,0,0,0,230,4,0,10.357548179581917,4,1,71.26855861247888
5,0,0,0,0,1,88,4,0,6.0160047679198785,4,2,100.0
3,0,0,0,0,0,62,5,0,1.6494651631631292,5,1,52.454519834979315
7,0,0,0,0,1,117,4,0,9.139232026051326,3,0,86.53633325458559
5,0,0,0,0,0,177,4,0,12.051897927699228,0,0,52.81751034574769
9,0,0,0,1,0,149,3,1,14.963889607965276,0,0,77.15641200682302
7,0,0,0,0,0,238,4,0,3.4235687737478364,4,1,83.29228661894747
2,0,0,0,1,0,71,0,1,10.53579571530785,1,1,61.85142771909914
4,0,1,0,1,0,53,2,0,0.5178436824744973,5,1,88.44575076091922
9,0,0,0,0,0,136,3,1,14.550396668242383,0,0,62.795583544731265
2,1,0,0,0,0,142,3,0,0.2872104767132696,3,2,79.63312068104194
9,0,0,0,0,0,47,5,0,5.446044928416801,0,2,58.57759226451696
